package,license,coverage,osi
ForwardDiff,MIT,95.6043956043956,true
RecursiveFactorization,MIT,95.53072625698324,true
CPUSummary,MIT,98.83720930232558,true
MuladdMacro,MIT,93.78531073446328,true
TableTraits,MIT,93.85474860335195,true
OffsetArrays,MIT,93.82022471910112,true
LinearSolve,MIT,90.8108108108108,true
Graphs,BSD-2-Clause,44.666666666666664,true
ConstructionBase,MIT,100.0,true
OrderedCollections,MIT,100.0,true
InvertedIndices,MIT,93.82022471910112,true
BitTwiddlingConvenienceFunctions,MIT,98.81656804733728,true
IrrationalConstants,MIT,98.81656804733728,true
IteratorInterfaceExtensions,MIT,93.85474860335195,true
StrideArraysCore,MIT,98.85057471264368,true
JULIA,MIT,89.65517241379311,true
FastClosures,MIT,93.82022471910112,true
HostCPUFeatures,MIT,98.83720930232558,true
DataStructures,MIT,100.0,true
CEnum,MIT,100.0,true
EzXML,MIT,93.82022471910112,true
OrdinaryDiffEq,MIT,94.3298969072165,true
Compat,MIT,94.02173913043478,true
NodeJS,MIT,93.85474860335195,true
MathProgBase,MIT,94.41340782122904,true
StatsFuns,MIT,93.82022471910112,true
VectorizationBase,MIT,100.0,true
DEDataArrays,MIT,93.88888888888889,true
RecipesBase,MIT,93.82022471910112,true
Sundials_jll,MIT,67.20647773279352,true
DataFrames,MIT,95.76719576719577,true
SpecialFunctions,MIT,97.84946236559139,true
CommonSolve,MIT,100.0,true
Requires,MIT,93.92265193370166,true
TranscodingStreams,MIT,93.82022471910112,true
Adapt,MIT,93.95604395604396,true
SparseDiffTools,MIT,100.0,true
PolyesterWeave,MIT,98.85057471264368,true
FunctionWrappers,MIT,94.6524064171123,true
LogExpFunctions,MIT,93.15789473684211,true
Hwloc,BSD-2-Clause,93.5960591133005,true
Distributions,MIT,89.52380952380952,true
ZipFile,MIT,95.42857142857143,true
Krylov,MPL-2.0,100.0,true
PooledArrays,MIT,97.94871794871794,true
OpenSpecFun_jll,MIT,67.07317073170732,true
LabelledArrays,MIT,93.82022471910112,true
KrylovKit,MIT,93.78531073446328,true
SIMDTypes,MIT,98.83720930232558,true
Missings,MIT,93.78531073446328,true
Formatting,MIT,93.88888888888889,true
JLLWrappers,MIT,100.0,true
JLLWrappers,MIT,67.07317073170732,true
JLLWrappers,MIT,67.20647773279352,true
JLLWrappers,MIT,67.20647773279352,true
JLLWrappers,MIT,66.93548387096774,true
IterativeSolvers,MIT,97.6878612716763,true
IterativeSolvers,MIT,98.83040935672514,true
CodecZlib,MIT,93.82022471910112,true
LoopVectorization,MIT,100.0,true
ArnoldiMethod,MIT,98.81656804733728,true
ArrayInterface,MIT,98.80952380952381,true
DensityInterface,MIT,94.02173913043478,true
SIMDDualNumbers,MIT,98.85714285714286,true
PreallocationTools,MIT,93.88888888888889,true
Hwloc_jll,MIT,67.20647773279352,true
PrettyTables,MIT,93.92265193370166,true
Libiconv_jll,MIT,67.07317073170732,true
CSV,MIT,93.95604395604396,true
NonlinearSolve,MIT,98.82352941176471,true
PDMats,MIT,93.92265193370166,true
FastBroadcast,MIT,98.85057471264368,true
Sundials,BSD-2-Clause,100.0,true
BenchmarkTools,MIT,93.82022471910112,true
BenchmarkTools,MIT,93.82022471910112,true
VertexSafeGraphs,MIT,100.0,true
FiniteDiff,MIT,93.78531073446328,true
Inflate,MIT,95.45454545454545,true
SimpleTraits,MIT,100.0,true
ManualMemory,MIT,98.83720930232558,true
SortingAlgorithms,MIT,93.98907103825137,true
ExponentialUtilities,MIT,93.82022471910112,true
LayoutPointers,MIT,98.83720930232558,true
CloseOpenIntervals,MIT,98.83720930232558,true
CommonSubexpressions,MIT,93.82022471910112,true
JSON,MIT,94.73684210526316,true
StatsBase,MIT,95.78947368421052,true
IfElse,MIT,98.85057471264368,true
Static,MIT,98.82352941176471,true
XML2_jll,MIT,67.07317073170732,true
Distances,MIT,93.82022471910112,true
ChangesOfVariables,MIT,94.05405405405405,true
Rmath_jll,MIT,67.20647773279352,true
DocStringExtensions,MIT,93.82022471910112,true
Preferences,MIT,93.88888888888889,true
NLSolversBase,MIT,93.85474860335195,true
ThreadingUtilities,MIT,98.85057471264368,true
StaticArrays,MIT,83.5,true
DataAPI,MIT,93.82022471910112,true
QuadGK,MIT,97.71428571428571,true
XLSX,MIT,98.83040935672514,true
Parsers,MIT,97.67441860465117,true
Parameters,MIT,93.85474860335195,true
TriangularSolve,MIT,98.84393063583815,true
MathOptInterface,MIT,94.02173913043478,true
DiffEqBase,MIT,93.88888888888889,true
Reexport,MIT,93.82022471910112,true
SentinelArrays,MIT,98.82352941176471,true
NaNMath,MIT,93.82022471910112,true
NLopt_jll,MIT,67.20647773279352,true
Rmath,MIT,83.00970873786407,true
DiffResults,MIT,93.82022471910112,true
LineSearches,MIT,34.172661870503596,true
Polyester,MIT,98.85057471264368,true
NLopt,MIT,99.01960784313725,true
SciMLBase,MIT,98.85057471264368,true
DataValueInterfaces,MIT,93.92265193370166,true
InverseFunctions,MIT,94.05405405405405,true
ZygoteRules,MIT,98.83720930232558,true
Bzip2_jll,MIT,67.07317073170732,true
Tables,MIT,98.81656804733728,true
StatsAPI,MIT,93.82022471910112,true
DiffRules,MIT,93.82022471910112,true
CodecBzip2,MIT,93.82022471910112,true
KLU,MIT,98.84393063583815,true
Crayons,MIT,93.82022471910112,true
SLEEFPirates,MIT,87.78625954198473,true
SLEEFPirates,MIT,87.78625954198473,true
MacroTools,MIT,93.92265193370166,true
NLsolve,MIT,94.38202247191012,true
ChainRulesCore,MIT,94.21052631578948,true
RecursiveArrayTools,MIT,71.61016949152543,true
UnPack,MIT,100.0,true
Setfield,MIT,93.82022471910112,true
MutableArithmetics,MPL-2.0,100.0,true
FillArrays,MIT,98.81656804733728,true
